 [2012-11-11 17:54:31,598]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,601]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,604]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,606]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,609]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,612]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,614]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,617]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,620]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,623]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,625]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,628]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,631]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,634]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,636]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,639]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,642]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,645]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,647]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,650]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,653]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,656]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,659]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,661]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,664]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,667]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,670]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,673]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,675]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,678]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,681]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,684]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,687]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,689]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,692]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,696]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,699]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,702]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,705]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,707]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,710]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,713]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,716]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,718]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,721]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,724]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,726]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,729]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,732]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,734]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,737]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,740]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
